Node1,Node2,Common_Neighbors,Jaccard_Similarity,Adamic_Adar
107,1684,10,0.0068,3.0866
107,1912,4,0.0028,0.8501
107,3437,1,0.0008,0.2569
107,0,1,0.0009,0.3460
107,2543,2,0.0018,0.4270
107,2347,2,0.0018,0.4270
107,1888,168,0.1875,38.8351
107,2266,0,0.0000,0.0000
107,1985,0,0.0000,0.0000
1684,1912,1,0.0008,0.5139
1684,3437,0,0.0000,0.0000
1684,0,3,0.0033,1.0080
1684,2543,0,0.0000,0.0000
1684,2347,0,0.0000,0.0000
1684,1888,1,0.0012,0.1481
1684,2266,0,0.0000,0.0000
1684,1985,0,0.0000,0.0000
1912,3437,0,0.0000,0.0000
1912,0,1,0.0011,0.5139
1912,2543,185,0.2829,40.5124
1912,2347,179,0.2775,38.3351
1912,1888,0,0.0000,0.0000
1912,2266,150,0.2351,32.7146
1912,1985,144,0.2243,30.7434
3437,0,0,0.0000,0.0000
3437,2543,0,0.0000,0.0000
3437,2347,0,0.0000,0.0000
3437,1888,0,0.0000,0.0000
3437,2266,0,0.0000,0.0000
3437,1985,0,0.0000,0.0000
0,2543,0,0.0000,0.0000
0,2347,0,0.0000,0.0000
0,1888,1,0.0020,0.1481
0,2266,0,0.0000,0.0000
0,1985,0,0.0000,0.0000
2543,2347,157,0.5000,33.1162
2543,1888,0,0.0000,0.0000
2543,2266,113,0.3509,23.3426
2543,1985,119,0.3790,24.7378
2347,1888,0,0.0000,0.0000
2347,2266,122,0.4094,25.2389
2347,1985,128,0.4414,26.6263
1888,2266,0,0.0000,0.0000
1888,1985,0,0.0000,0.0000
2266,1985,139,0.5720,29.1595
